Source	Contig	Bin	Support
bin_0.fna	NODE_11_length_361162_cov_0.994737	bin_0.fna	1.0
bin_0.fna	NODE_122_length_70145_cov_1.006926	bin_0.fna	1.0
bin_0.fna	NODE_125_length_67569_cov_0.966048	bin_0.fna	1.0
bin_0.fna	NODE_174_length_44294_cov_1.043081	bin_0.fna	1.0
bin_0.fna	NODE_180_length_42967_cov_4.109275	bin_0.fna	1.0
bin_0.fna	NODE_185_length_42263_cov_3.484790	bin_0.fna	1.0
bin_0.fna	NODE_22_length_276589_cov_1.002243	bin_0.fna	1.0
bin_0.fna	NODE_299_length_16153_cov_0.948353	bin_0.fna	1.0
bin_0.fna	NODE_30_length_250319_cov_0.996846	bin_0.fna	1.0
bin_0.fna	NODE_320_length_14272_cov_0.964313	bin_0.fna	1.0
bin_0.fna	NODE_36_length_237323_cov_1.010459	bin_0.fna	1.0
bin_0.fna	NODE_45_length_195603_cov_0.998394	bin_0.fna	1.0
bin_0.fna	NODE_492_length_7094_cov_0.981213	bin_0.fna	1.0
bin_0.fna	NODE_5_length_607162_cov_1.000802	bin_0.fna	1.0
bin_0.fna	NODE_63_length_148210_cov_0.989520	bin_0.fna	1.0
bin_0.fna	NODE_64_length_140564_cov_0.998099	bin_0.fna	1.0
bin_0.fna	NODE_690_length_3198_cov_1.000650	bin_0.fna	1.0
bin_0.fna	NODE_76_length_120051_cov_0.999250	bin_0.fna	1.0
bin_0.fna	NODE_790_length_2141_cov_0.212871	bin_0.fna	1.0
bin_0.fna	NODE_810_length_1952_cov_1.976516	bin_0.fna	1.0
bin_0.fna	NODE_811_length_1951_cov_1.404918	bin_0.fna	1.0
bin_0.fna	NODE_844_length_1691_cov_0.905732	bin_0.fna	1.0
bin_0.fna	NODE_88_length_103162_cov_0.990538	bin_0.fna	1.0
bin_0.fna	NODE_93_length_96868_cov_0.989085	bin_0.fna	1.0
bin_0.fna	NODE_9_length_392609_cov_1.038712	bin_0.fna	1.0
bin_1.fna	NODE_182_length_42779_cov_1.585353	bin_1.fna	1.0
bin_1.fna	NODE_29_length_251715_cov_1.181646	bin_1.fna	1.0
bin_1.fna	NODE_2_length_869699_cov_1.172445	bin_1.fna	1.0
bin_1.fna	NODE_33_length_245352_cov_1.176462	bin_1.fna	1.0
bin_1.fna	NODE_538_length_5959_cov_0.179000	bin_1.fna	1.0
bin_1.fna	NODE_613_length_4574_cov_0.167528	bin_1.fna	1.0
bin_1.fna	NODE_663_length_3606_cov_0.249354	bin_1.fna	1.0
bin_1.fna	NODE_66_length_139666_cov_1.181913	bin_1.fna	1.0
bin_1.fna	NODE_720_length_2843_cov_1.095885	bin_1.fna	1.0
bin_1.fna	NODE_83_length_110047_cov_1.162155	bin_1.fna	1.0
bin_2.fna	NODE_187_length_41752_cov_3.907329	bin_2.fna	1.0
bin_2.fna	NODE_191_length_39469_cov_0.189717	bin_2.fna	1.0
bin_2.fna	NODE_204_length_34506_cov_0.174175	bin_2.fna	1.0
bin_2.fna	NODE_207_length_33338_cov_0.193214	bin_2.fna	1.0
bin_2.fna	NODE_208_length_33270_cov_0.181091	bin_2.fna	1.0
bin_2.fna	NODE_209_length_33142_cov_0.179340	bin_2.fna	1.0
bin_2.fna	NODE_214_length_32108_cov_0.175634	bin_2.fna	1.0
bin_2.fna	NODE_217_length_30305_cov_0.179797	bin_2.fna	1.0
bin_2.fna	NODE_218_length_30151_cov_0.191675	bin_2.fna	1.0
bin_2.fna	NODE_220_length_29835_cov_0.192233	bin_2.fna	1.0
bin_2.fna	NODE_223_length_28632_cov_0.175441	bin_2.fna	1.0
bin_2.fna	NODE_226_length_28416_cov_0.177028	bin_2.fna	1.0
bin_2.fna	NODE_228_length_27646_cov_0.186848	bin_2.fna	1.0
bin_2.fna	NODE_232_length_26513_cov_0.194150	bin_2.fna	1.0
bin_2.fna	NODE_236_length_25266_cov_0.191450	bin_2.fna	1.0
bin_2.fna	NODE_237_length_25256_cov_0.180545	bin_2.fna	1.0
bin_2.fna	NODE_238_length_24829_cov_0.185284	bin_2.fna	1.0
bin_2.fna	NODE_239_length_24406_cov_0.186329	bin_2.fna	1.0
bin_2.fna	NODE_245_length_23622_cov_0.170716	bin_2.fna	1.0
bin_2.fna	NODE_248_length_23252_cov_0.183390	bin_2.fna	1.0
bin_2.fna	NODE_249_length_22733_cov_0.185831	bin_2.fna	1.0
bin_2.fna	NODE_252_length_22446_cov_0.183203	bin_2.fna	1.0
bin_2.fna	NODE_256_length_21611_cov_0.199581	bin_2.fna	1.0
bin_2.fna	NODE_257_length_21396_cov_0.192996	bin_2.fna	1.0
bin_2.fna	NODE_259_length_21213_cov_0.189029	bin_2.fna	1.0
bin_2.fna	NODE_260_length_20961_cov_0.190259	bin_2.fna	1.0
bin_2.fna	NODE_264_length_20519_cov_0.173595	bin_2.fna	1.0
bin_2.fna	NODE_271_length_19724_cov_0.176504	bin_2.fna	1.0
bin_2.fna	NODE_273_length_19626_cov_0.192310	bin_2.fna	1.0
bin_2.fna	NODE_276_length_19295_cov_0.187024	bin_2.fna	1.0
bin_2.fna	NODE_280_length_18914_cov_0.182728	bin_2.fna	1.0
bin_2.fna	NODE_282_length_18317_cov_0.197626	bin_2.fna	1.0
bin_2.fna	NODE_284_length_18151_cov_0.175818	bin_2.fna	1.0
bin_2.fna	NODE_287_length_18059_cov_0.173598	bin_2.fna	1.0
bin_2.fna	NODE_290_length_17829_cov_0.170149	bin_2.fna	1.0
bin_2.fna	NODE_292_length_17335_cov_0.182468	bin_2.fna	1.0
bin_2.fna	NODE_293_length_17261_cov_0.176371	bin_2.fna	1.0
bin_2.fna	NODE_295_length_17093_cov_0.180297	bin_2.fna	1.0
bin_2.fna	NODE_296_length_16979_cov_0.182406	bin_2.fna	1.0
bin_2.fna	NODE_298_length_16222_cov_0.187380	bin_2.fna	1.0
bin_2.fna	NODE_300_length_16010_cov_0.161684	bin_2.fna	1.0
bin_2.fna	NODE_302_length_15764_cov_0.183852	bin_2.fna	1.0
bin_2.fna	NODE_304_length_15325_cov_0.141476	bin_2.fna	1.0
